VARIABLES = X,Ksi,B,H,U,tau,Delta 
ZONE T="Time 35.000000", I=501, DATAPACKING=POINT
0.000000	1.750000	0.000000	1.750000	0.000000	0.000241	1650.000000
0.002000	1.750000	0.000000	1.750000	-0.000000	0.000241	1650.000000
0.004000	1.750000	0.000000	1.750000	-0.000000	0.000241	1650.000000
0.006000	1.750000	0.000000	1.750000	-0.000000	0.000241	1650.000000
0.008000	1.750000	0.000000	1.750000	-0.000000	0.000241	1650.000000
0.010000	1.750000	0.000000	1.750000	-0.000000	0.000241	1650.000000
0.012000	1.750000	0.000000	1.750000	-0.000000	0.000241	1650.000000
0.014000	1.750000	0.000000	1.750000	-0.000000	0.000241	1650.000000
0.016000	1.750000	0.000000	1.750000	-0.000000	0.000241	1650.000000
0.018000	1.750000	0.000000	1.750000	-0.000000	0.000241	1650.000000
0.020000	1.750000	0.000000	1.750000	-0.000000	0.000241	1650.000000
0.022000	1.750000	0.000000	1.750000	-0.000000	0.000241	1650.000000
0.024000	1.750000	0.000000	1.750000	-0.000000	0.000241	1650.000000
0.026000	1.750000	0.000000	1.750000	-0.000000	0.000241	1650.000000
0.028000	1.750000	0.000000	1.750000	-0.000000	0.000241	1650.000000
0.030000	1.750000	0.000000	1.750000	-0.000000	0.000241	1650.000000
0.032000	1.750000	0.000000	1.750000	-0.000000	0.000241	1650.000000
0.034000	1.750000	0.000000	1.750000	-0.000000	0.000241	1650.000000
0.036000	1.750000	0.000000	1.750000	-0.000000	0.000241	1650.000000
0.038000	1.750000	0.000000	1.750000	-0.000000	0.000241	1650.000000
0.040000	1.750000	0.000000	1.750000	-0.000000	0.000241	1650.000000
0.042000	1.750000	0.000000	1.750000	-0.000000	0.000241	1650.000000
0.044000	1.750000	0.000000	1.750000	-0.000000	0.000241	1650.000000
0.046000	1.750000	0.000000	1.750000	-0.000000	0.000241	1650.000000
0.048000	1.750000	0.000000	1.750000	-0.000000	0.000241	1650.000000
0.050000	1.750000	0.000000	1.750000	-0.000000	0.000241	1650.000000
0.052000	1.750000	0.000000	1.750000	-0.000000	0.000241	1650.000000
0.054000	1.750000	0.000000	1.750000	-0.000000	0.000241	1650.000000
0.056000	1.750000	0.000000	1.750000	-0.000000	0.000241	1650.000000
0.058000	1.750000	0.000000	1.750000	-0.000000	0.000241	1650.000000
0.060000	1.750000	0.000000	1.750000	-0.000000	0.000241	1650.000000
0.062000	1.750000	0.000000	1.750000	-0.000000	0.000241	1650.000000
0.064000	1.750000	0.000000	1.750000	-0.000000	0.000241	1650.000000
0.066000	1.750000	0.000000	1.750000	-0.000000	0.000241	1650.000000
0.068000	1.750000	0.000000	1.750000	-0.000000	0.000241	1650.000000
0.070000	1.750000	0.000000	1.750000	-0.000000	0.000241	1650.000000
0.072000	1.750000	0.000000	1.750000	-0.000000	0.000241	1650.000000
0.074000	1.750000	0.000000	1.750000	-0.000000	0.000241	1650.000000
0.076000	1.750000	0.000000	1.750000	-0.000000	0.000241	1650.000000
0.078000	1.750000	0.000000	1.750000	-0.000000	0.000241	1650.000000
0.080000	1.750000	0.000000	1.750000	-0.000000	0.000241	1650.000000
0.082000	1.750000	0.000000	1.750000	-0.000000	0.000241	1650.000000
0.084000	1.750000	0.000000	1.750000	-0.000000	0.000241	1650.000000
0.086000	1.750000	0.000000	1.750000	-0.000000	0.000241	1650.000000
0.088000	1.750000	0.000000	1.750000	-0.000000	0.000241	1650.000000
0.090000	1.750000	0.000000	1.750000	-0.000000	0.000241	1650.000000
0.092000	1.750000	0.000000	1.750000	-0.000000	0.000241	1650.000000
0.094000	1.750000	0.000000	1.750000	-0.000000	0.000241	1650.000000
0.096000	1.750000	0.000000	1.750000	-0.000000	0.000241	1650.000000
0.098000	1.750000	0.000000	1.750000	-0.000000	0.000241	1650.000000
0.100000	1.750000	0.000000	1.750000	-0.000000	0.000241	1650.000000
0.102000	1.750000	0.000000	1.750000	-0.000000	0.000241	1650.000000
0.104000	1.750000	0.000000	1.750000	-0.000000	0.000241	1650.000000
0.106000	1.750000	0.000000	1.750000	-0.000000	0.000241	1650.000000
0.108000	1.750000	0.000000	1.750000	-0.000000	0.000241	1650.000000
0.110000	1.750000	0.000000	1.750000	-0.000000	0.000241	1650.000000
0.112000	1.750000	0.000000	1.750000	-0.000000	0.000241	1650.000000
0.114000	1.750000	0.000000	1.750000	-0.000000	0.000241	1650.000000
0.116000	1.750000	0.000000	1.750000	-0.000000	0.000241	1650.000000
0.118000	1.750000	0.000000	1.750000	-0.000000	0.000241	1650.000000
0.120000	1.750000	0.000000	1.750000	-0.000000	0.000241	1650.000000
0.122000	1.750000	0.000000	1.750000	-0.000000	0.000241	1650.000000
0.124000	1.750000	0.000000	1.750000	-0.000000	0.000241	1650.000000
0.126000	1.750000	0.000000	1.750000	-0.000000	0.000241	1650.000000
0.128000	1.750000	0.000000	1.750000	-0.000000	0.000241	1650.000000
0.130000	1.750000	0.000000	1.750000	-0.000000	0.000241	1650.000000
0.132000	1.750000	0.000000	1.750000	-0.000000	0.000241	1650.000000
0.134000	1.750000	0.000000	1.750000	-0.000000	0.000241	1650.000000
0.136000	1.750000	0.000000	1.750000	-0.000000	0.000241	1650.000000
0.138000	1.750000	0.000000	1.750000	-0.000000	0.000241	1650.000000
0.140000	1.750000	0.000000	1.750000	-0.000000	0.000241	1650.000000
0.142000	1.750000	0.000000	1.750000	-0.000000	0.000241	1650.000000
0.144000	1.750000	0.000000	1.750000	-0.000000	0.000241	1650.000000
0.146000	1.750000	0.000000	1.750000	-0.000000	0.000241	1650.000000
0.148000	1.750000	0.000000	1.750000	-0.000000	0.000241	1650.000000
0.150000	1.750000	0.000000	1.750000	-0.000000	0.000241	1650.000000
0.152000	1.750000	0.000000	1.750000	-0.000000	0.000241	1650.000000
0.154000	1.750000	0.000000	1.750000	-0.000000	0.000241	1650.000000
0.156000	1.750000	0.000000	1.750000	-0.000000	0.000241	1650.000000
0.158000	1.750000	0.000000	1.750000	-0.000000	0.000241	1650.000000
0.160000	1.750000	0.000000	1.750000	-0.000000	0.000241	1650.000000
0.162000	1.750000	0.000000	1.750000	-0.000000	0.000241	1650.000000
0.164000	1.750000	0.000000	1.750000	-0.000000	0.000241	1650.000000
0.166000	1.750000	0.000000	1.750000	-0.000000	0.000241	1650.000000
0.168000	1.750000	0.000000	1.750000	-0.000000	0.000241	1650.000000
0.170000	1.750000	0.000000	1.750000	-0.000000	0.000241	1650.000000
0.172000	1.750000	0.000000	1.750000	-0.000000	0.000241	1650.000000
0.174000	1.750000	0.000000	1.750000	-0.000000	0.000241	1650.000000
0.176000	1.750000	0.000000	1.750000	-0.000000	0.000241	1650.000000
